Username,Date,Time,Tweet
,2025-07-06,23:52:31,"Donald J. Trump Truth Social 07.06.25 06:20 PM EST

I am saddened to watch Elon Musk go completely “off the rails,” essentially becoming a TRAIN WRECK over the past five weeks. He even wants to start a Third Political Party, despite the fact that they have never succeeded in the"
,2025-07-07,15:24:07,"Donald J. Trump Truth Social 07.07.25 10:46 AM EST

Brazil is doing a terrible thing on their treatment of former President Jair Bolsonaro. I have watched, as has the World, as they have done nothing but come after him, day after day, night after night, month after month, year"
,2025-07-07,21:00:53,"Donald J. Trump Truth Social 07.07.25 04:26 PM EST

The FBI, under the direction of Director Kash Patel and Deputy Director Dan Bongino, is back to the basics: Locking up criminals, and cleaning up America’s streets. We have the Greatest Law Enforcement professionals in the"
,2025-07-06,15:26:28,"Donald J. Trump Truth Social 07.06.25 10:59 AM EST

I just signed a Major Disaster Declaration for Kerr County, Texas, to ensure that our Brave First Responders immediately have the resources they need. These families are enduring an unimaginable tragedy, with many lives lost,"
,2025-07-07,04:20:15,Donald J. Trump Truth Social 07.06.25 10:24 PM EST
,2025-07-07,16:22:44,Donald J. Trump Truth Social 07.07.25 12:18 PM EST
,2025-07-07,16:24:45,Donald J. Trump Truth Social 07.07.25 12:19 PM EST
,2025-07-07,00:23:56,Donald J. Trump Truth Social 07.06.25 07:52 PM EST
,2025-07-06,17:10:52,Donald J. Trump Truth Social 07.06.25 12:28 PM EST
,2025-07-07,21:32:20,Donald J. Trump Truth Social 07.07.25 02:16 PM EST
,2025-07-05,15:05:13,"Donald J. Trump Truth Social 07.05.25 10:58 AM EST

The Trump Administration is working with State and Local Officials on the ground in Texas in response to the tragic flooding that took place yesterday. Our Secretary of Homeland Security, Kristi Noem, will be there shortly."
,2025-07-07,18:23:12,Donald J. Trump Truth Social 07.07.25 02:14 PM EST
,2025-07-07,20:59:17,Donald J. Trump Truth Social 07.07.25 02:15 PM EST
,2025-07-05,20:53:42,"Donald J. Trump Truth Social 07.05.25 04:48 PM EST

The One Big Beautiful Bill will deliver the strongest border on Earth, the strongest economy on Earth, the strongest military on Earth, & ensure the United States of America will remain the strongest country anywhere on this"
,2025-07-08,02:25:21,Donald J. Trump Truth Social 07.07.25 04:30 PM EST
,2025-07-05,22:29:15,Donald J. Trump Truth Social 07.05.25 06:26 PM EST
