,0
0,POS
1,NEG
2,POS
3,NEG
4,NEG
5,NEG
6,POS
7,NEG
8,NEG
9,NEG
10,POS
11,POS
12,NEG
13,POS
14,NEG
15,NEG
16,NEG
17,NEG
18,NEG
19,NEG
20,POS
21,NEG
22,POS
23,POS
24,POS
25,POS
26,POS
27,POS
28,NEG
29,POS
30,POS
31,NEG
32,NEG
33,NEG
34,NEG
35,NEG
36,NEG
37,POS
38,POS
39,NEG
40,NEG
41,POS
42,NEG
43,NEG
44,NEG
45,POS
46,NEG
47,NEG
48,NEG
49,POS
50,POS
51,NEG
52,NEG
53,NEG
54,NEG
55,NEG
56,NEG
57,POS
58,NEG
59,NEG
60,NEG
61,NEG
62,NEG
63,NEG
64,NEG
65,NEG
66,POS
67,NEG
68,NEG
69,NEG
70,NEG
71,NEG
72,NEG
73,NEG
74,NEG
75,POS
76,NEG
77,NEG
78,POS
79,NEG
80,NEG
81,POS
82,NEG
83,NEG
84,POS
85,POS
86,POS
87,POS
88,NEG
89,POS
90,NEG
91,POS
92,NEG
93,POS
94,NEG
95,POS
96,NEG
97,NEG
98,NEG
99,NEG
100,POS
101,NEG
102,NEG
103,NEG
104,POS
105,POS
106,NEG
107,NEG
108,NEG
109,NEG
110,NEG
111,NEG
112,NEG
113,NEG
114,NEG
115,NEG
116,NEG
117,NEG
118,POS
119,POS
120,POS
121,POS
122,POS
123,NEG
124,NEG
125,POS
126,NEG
127,POS
128,NEG
129,NEG
130,NEG
131,NEG
132,NEG
133,NEG
134,NEG
135,NEG
136,POS
137,NEG
138,POS
139,NEG
140,NEG
141,POS
142,POS
143,POS
144,NEG
145,NEG
146,NEG
147,NEG
148,NEG
149,NEG
150,NEG
151,POS
152,NEG
153,POS
154,POS
155,NEG
156,NEG
157,NEG
158,NEG
159,POS
160,POS
161,POS
162,NEG
163,NEG
164,NEG
165,NEG
166,NEG
167,NEG
168,POS
169,POS
170,NEG
171,POS
172,NEG
173,NEG
174,NEG
175,NEG
176,POS
177,NEG
178,NEG
179,POS
180,POS
181,NEG
182,NEG
183,POS
184,NEG
185,NEG
186,NEG
187,NEG
188,NEG
189,NEG
190,NEG
191,POS
192,NEG
193,NEG
194,POS
195,NEG
196,NEG
197,NEG
198,NEG
199,NEG
200,POS
201,POS
202,POS
203,NEG
204,NEG
205,NEG
206,NEG
207,NEG
208,NEG
209,POS
210,NEG
211,NEG
212,POS
213,NEG
214,POS
215,NEG
216,NEG
217,POS
218,NEG
219,NEG
220,NEG
221,POS
222,NEG
223,NEG
224,NEG
225,POS
226,POS
227,NEG
228,NEG
229,NEG
230,POS
231,POS
232,NEG
233,POS
234,POS
235,NEG
236,NEG
237,NEG
238,POS
239,NEG
240,NEG
241,NEG
242,NEG
243,POS
244,NEG
245,NEG
246,POS
247,NEG
248,NEG
249,NEG
250,NEG
251,NEG
252,NEG
253,NEG
254,NEG
255,NEG
256,NEG
257,NEG
258,POS
259,NEG
260,NEG
261,NEG
262,POS
263,NEG
264,NEG
265,NEG
266,NEG
267,NEG
268,NEG
269,POS
270,NEG
271,POS
272,NEG
273,NEG
274,POS
275,POS
276,NEG
277,POS
278,POS
279,POS
280,POS
281,POS
282,NEG
283,NEG
284,NEG
285,NEG
286,NEG
287,POS
288,POS
289,NEG
290,NEG
291,POS
292,NEG
293,POS
294,NEG
295,NEG
296,NEG
297,NEG
298,NEG
299,POS
300,POS
301,NEG
302,POS
303,POS
304,POS
305,NEG
306,POS
307,NEG
308,NEG
309,NEG
310,NEG
311,POS
312,NEG
313,NEG
314,NEG
315,POS
316,NEG
317,POS
318,NEG
319,NEG
320,NEG
321,NEG
322,NEG
323,NEG
324,NEG
325,NEG
326,NEG
327,NEG
328,NEG
329,NEG
330,NEG
331,NEG
332,NEG
333,POS
334,NEG
335,NEG
336,NEG
337,NEG
338,NEG
339,NEG
340,NEG
341,NEG
342,NEG
343,POS
344,POS
345,POS
346,NEG
347,NEG
348,NEG
349,NEG
350,NEG
351,NEG
352,NEG
353,NEG
354,NEG
355,POS
356,NEG
357,NEG
358,NEG
359,NEG
360,NEG
361,NEG
362,NEG
363,NEG
364,POS
365,POS
366,NEG
367,POS
368,NEG
369,NEG
370,NEG
371,NEG
372,NEG
373,NEG
374,NEG
375,NEG
376,NEG
377,POS
378,NEG
379,NEG
380,NEG
381,POS
382,NEG
383,NEG
384,NEG
385,POS
386,POS
387,POS
388,NEG
389,NEG
390,NEG
391,NEG
392,NEG
393,NEG
394,NEG
395,NEG
396,NEG
397,POS
398,NEG
399,NEG
400,NEG
401,NEG
402,NEG
403,NEG
404,NEG
405,NEG
406,NEG
407,NEG
408,POS
409,NEG
410,POS
411,NEG
412,POS
413,NEG
414,NEG
415,NEG
416,POS
417,POS
418,POS
419,NEG
420,NEG
421,NEG
422,NEG
423,POS
424,NEG
425,NEG
426,NEG
427,POS
428,NEG
429,NEG
430,POS
431,NEG
432,POS
433,POS
434,POS
435,POS
436,NEG
437,NEG
438,NEG
439,NEG
440,NEG
441,NEG
442,NEG
443,POS
444,NEG
445,NEG
446,POS
447,NEG
448,NEG
449,NEG
450,NEG
451,NEG
452,NEG
453,NEG
454,NEG
455,POS
456,NEG
457,NEG
458,POS
459,NEG
460,POS
461,NEG
462,NEG
463,NEG
464,NEG
465,NEG
466,NEG
467,POS
468,NEG
469,NEG
470,NEG
471,NEG
472,POS
473,NEG
474,NEG
475,POS
476,NEG
477,NEG
478,NEG
479,NEG
480,NEG
481,POS
482,NEG
483,NEG
484,NEG
485,POS
486,POS
487,POS
488,NEG
489,POS
490,POS
491,NEG
492,POS
493,POS
494,NEG
495,NEG
496,NEG
497,NEG
498,NEG
499,NEG
500,NEG
501,POS
502,POS
503,NEG
504,NEG
505,POS
506,NEG
507,NEG
508,NEG
509,NEG
510,NEG
511,NEG
512,NEG
513,NEG
514,NEG
515,NEG
516,NEG
517,NEG
518,NEG
519,NEG
520,NEG
521,NEG
522,POS
523,NEG
524,NEG
525,POS
526,NEG
527,NEG
528,NEG
529,NEG
530,POS
531,POS
532,POS
533,NEG
534,NEG
535,NEG
536,NEG
537,POS
538,NEG
539,NEG
540,NEG
541,NEG
542,NEG
543,POS
544,POS
545,NEG
546,NEG
547,NEG
548,POS
549,POS
550,POS
551,NEG
552,NEG
553,NEG
554,POS
555,NEG
556,NEG
557,POS
558,POS
559,NEG
560,NEG
561,NEG
562,NEG
563,POS
564,NEG
565,NEG
566,POS
567,NEG
568,POS
569,NEG
570,NEG
571,POS
572,NEG
573,NEG
574,POS
575,POS
576,POS
577,NEG
578,NEG
579,NEG
580,NEG
581,NEG
582,NEG
583,POS
584,NEG
585,NEG
586,NEG
587,NEG
588,NEG
589,NEG
590,POS
591,NEG
592,NEG
593,POS
594,NEG
595,POS
596,POS
597,POS
598,POS
599,NEG
600,POS
601,POS
602,NEG
603,NEG
604,POS
605,NEG
606,NEG
607,POS
608,NEG
609,NEG
610,POS
611,NEG
612,POS
613,NEG
614,POS
615,NEG
616,POS
617,NEG
618,NEG
619,POS
620,NEG
621,NEG
622,NEG
623,POS
624,NEG
625,POS
626,NEG
627,NEG
628,NEG
629,NEG
630,NEG
631,NEG
632,POS
633,POS
634,NEG
635,POS
636,POS
637,NEG
638,NEG
639,NEG
640,NEG
641,POS
642,NEG
643,NEG
644,NEG
645,NEG
646,POS
647,NEG
648,NEG
649,NEG
650,NEG
651,POS
652,POS
653,POS
654,POS
655,NEG
656,NEG
657,NEG
658,NEG
659,NEG
660,NEG
661,NEG
662,POS
663,NEG
664,NEG
665,NEG
666,POS
667,NEG
668,NEG
669,NEG
670,NEG
671,POS
672,NEG
673,NEG
674,NEG
675,NEG
676,NEG
677,NEG
678,NEG
679,NEG
680,NEG
681,NEG
682,NEG
683,NEG
684,POS
685,NEG
686,NEG
687,NEG
688,NEG
689,NEG
690,NEG
691,NEG
692,NEG
693,POS
694,NEG
695,NEG
696,NEG
697,NEG
698,POS
699,POS
700,POS
701,NEG
702,NEG
703,NEG
704,NEG
705,NEG
706,NEG
707,NEG
708,NEG
709,POS
710,NEG
711,POS
712,NEG
713,NEG
714,NEG
715,NEG
716,NEG
717,NEG
718,NEG
719,NEG
720,POS
721,NEG
722,POS
723,NEG
724,NEG
725,NEG
726,NEG
727,POS
728,NEG
729,NEG
730,NEG
731,NEG
732,NEG
733,NEG
734,NEG
735,NEG
736,NEG
737,NEG
738,NEG
739,POS
740,NEG
741,NEG
742,NEG
743,NEG
744,NEG
745,NEG
746,NEG
747,NEG
748,NEG
749,POS
750,NEG
751,NEG
752,NEG
753,NEG
754,POS
755,NEG
756,NEG
757,NEG
758,NEG
759,NEG
760,NEG
761,NEG
762,NEG
763,NEG
764,NEG
765,NEG
766,POS
767,NEG
768,NEG
769,NEG
770,NEG
771,NEG
772,NEG
773,NEG
774,POS
775,POS
776,NEG
777,NEG
778,NEG
779,NEG
780,NEG
781,POS
782,NEG
783,NEG
784,NEG
785,NEG
786,NEG
787,NEG
788,NEG
789,NEG
790,NEG
791,NEG
792,NEG
793,POS
794,NEG
795,NEG
796,NEG
797,NEG
798,NEG
799,NEG
800,POS
801,NEG
802,NEG
803,NEG
804,NEG
805,NEG
806,NEG
807,NEG
808,NEG
809,POS
810,NEG
811,NEG
812,NEG
813,NEG
814,POS
815,NEG
816,NEG
817,NEG
818,NEG
819,NEG
820,NEG
821,NEG
822,NEG
823,NEG
824,NEG
825,NEG
826,POS
827,NEG
828,NEG
829,NEG
830,NEG
831,NEG
832,NEG
833,NEG
834,POS
835,POS
836,NEG
837,NEG
838,NEG
839,NEG
840,NEG
841,POS
842,NEG
843,NEG
844,NEG
845,NEG
846,NEG
847,NEG
848,NEG
849,NEG
850,NEG
851,NEG
852,NEG
853,POS
854,NEG
855,NEG
856,NEG
857,NEG
858,NEG
859,NEG
860,POS
861,NEG
862,NEG
863,NEG
864,NEG
865,NEG
866,NEG
867,NEG
868,NEG
869,POS
870,NEG
871,NEG
872,NEG
873,NEG
874,POS
875,NEG
876,NEG
877,NEG
878,NEG
879,NEG
880,NEG
881,NEG
882,NEG
883,NEG
884,NEG
885,NEG
886,POS
887,NEG
888,NEG
889,NEG
890,NEG
891,NEG
892,NEG
893,NEG
894,POS
895,POS
896,NEG
897,NEG
898,NEG
899,NEG
900,NEG
901,POS
902,NEG
903,NEG
904,NEG
905,NEG
906,NEG
907,NEG
908,NEG
909,NEG
910,POS
911,NEG
912,NEG
913,NEG
914,NEG
915,POS
916,NEG
917,NEG
918,NEG
919,NEG
920,NEG
921,NEG
922,NEG
923,NEG
924,NEG
925,NEG
926,NEG
927,POS
928,NEG
929,NEG
930,NEG
931,NEG
932,NEG
933,NEG
934,NEG
935,POS
936,POS
937,NEG
938,NEG
939,NEG
940,NEG
941,NEG
942,POS
943,NEG
944,NEG
945,NEG
946,NEG
947,NEG
948,NEG
949,NEG
950,NEG
951,POS
952,NEG
953,NEG
954,NEG
955,NEG
956,POS
957,NEG
958,NEG
959,NEG
960,NEG
961,NEG
962,NEG
963,NEG
964,NEG
965,NEG
966,NEG
967,NEG
968,POS
969,NEG
970,NEG
971,NEG
972,NEG
973,NEG
974,NEG
975,NEG
976,POS
977,POS
978,NEG
979,NEG
980,NEG
981,NEG
982,NEG
983,POS
984,NEG
985,NEG
986,NEG
987,NEG
988,NEG
989,NEG
990,NEG
991,NEG
992,POS
993,NEG
994,NEG
995,NEG
996,NEG
997,POS
998,NEG
999,NEG
1000,NEG
1001,NEG
1002,NEG
1003,NEG
1004,NEG
1005,NEG
1006,NEG
1007,NEG
1008,NEG
1009,POS
1010,NEG
1011,NEG
1012,NEG
1013,NEG
1014,NEG
1015,NEG
1016,NEG
1017,POS
1018,POS
1019,NEG
1020,NEG
1021,NEG
1022,NEG
1023,NEG
1024,POS
1025,NEG
1026,NEG
1027,NEG
1028,NEG
1029,NEG
1030,NEG
1031,NEG
1032,NEG
1033,POS
1034,NEG
1035,NEG
1036,NEG
1037,NEG
1038,POS
1039,NEG
1040,NEG
1041,NEG
1042,NEG
1043,NEG
1044,NEG
1045,NEG
1046,NEG
1047,NEG
1048,NEG
1049,NEG
1050,POS
1051,NEG
1052,NEG
1053,NEG
1054,NEG
1055,NEG
1056,NEG
1057,NEG
1058,POS
1059,POS
1060,NEG
1061,NEG
1062,NEG
1063,NEG
