,Unnamed: 0,Date,Headline,Ticker,Categories,Sentiment,Sentiment_Score
0,1,2011-10-06 20:22:42,USDA Boxed Beef Cutout Closing Prices for October 6,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Adverse Events', 'News - Personnel Changes', 'News - Stock Rumors']",NEGATIVE,0.9846664667129517
1,2,2011-10-06 19:00:00,U.S. September Small Business Jobs Summary,MA,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Analyst Comments', 'News - Stocks', 'News - Dividends', 'News - Corporate Earnings', 'News - Personnel Changes']",NEGATIVE,0.9625878930091858
2,3,2011-10-06 14:45:34,Greece’s GSEE Says Won’t Meet For Talks With Troika in Athens,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.996720016002655
3,4,2011-10-06 18:34:41,"Clean-Tech Companies Should Get 10-Year Tax Breaks, Hundt Says",T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Adverse Events', 'News - Personnel Changes']",NEGATIVE,0.9969366788864136
4,5,2011-10-06 07:56:54,"U.K. Pound Weakens Versus Dollar Before BOE Bond-Purchase, Rate Decision",V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.9992393255233765
5,6,2011-10-06 22:26:57,Afghanistan Gets Preliminary Agreement on $129 Million IMF Loan,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs']",POSITIVE,0.7586494088172913
6,7,2011-10-06 20:58:14,"Germany, France Split on EFSF Bond Purchases, Handelsblatt Says",MA,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.9859474897384644
7,8,2011-10-06 14:13:52,Farmland Seen Returning Up to 12% by U.S. Pensions Manager,MA,['None'],NEGATIVE,0.9938487410545349
8,9,2011-10-06 15:04:05,Airbus German Workers Plan Work Stoppage on Contract Dispute,MA,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Adverse Events', 'News - Stock Rumors']",NEGATIVE,0.9940762519836426
9,10,2011-10-06 18:05:41,Fans Hold IPhone-Lit Vigils for Steve Jobs,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Adverse Events', 'News - Personnel Changes', 'News - Stock Rumors']",POSITIVE,0.9630247354507446
10,11,2011-10-06 06:07:59,"France Working on Contingency Bank Stakes Plan, Figaro Says",T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",POSITIVE,0.9870774745941162
11,12,2011-10-06 13:14:35,Uganda Coffee Development Authority’s Robusta Prices,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.9354265928268433
12,13,2011-10-06 20:26:24,New York Times Climbs After Mexican Billionaire Carlos Slim Boosts Stake,T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",POSITIVE,0.9935474991798401
13,14,2011-10-07 12:16:01,Irish Trophy Home Plunges 75% in Price as Property Millionaires Disappear,DIS,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Dividends']",NEGATIVE,0.9961404204368591
14,15,2011-10-06 10:38:35,"Hungary Focusing on Debt, Deficit Reductions in 2012, Simor Says",T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Stocks', 'News - Dividends']",POSITIVE,0.9755539298057556
15,16,2011-10-06 04:01:00,U.S. Apartment Vacancies Drop to Five-Year Low as Demand Begins to Slow,V,['None'],NEGATIVE,0.999567449092865
16,17,2011-10-06 22:28:34,SEC Claims Author Used Ponzi Scheme to Repay Prior Fraud Victims,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends', 'News - Adverse Events', 'News - Stock Rumors']",NEGATIVE,0.9886437654495239
17,18,2011-10-06 19:23:41,"Gold, Silver Futures Advance in New York as Commodities, Equities Rally",V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Analyst Comments', 'News - Stocks', 'News - Dividends', 'News - Store Openings', 'News - Adverse Events', 'News - Stock Rumors']",POSITIVE,0.9778326153755188
18,19,2011-10-06 15:55:40,"Polish Stocks: KGHM, PKO Bank, PZU, TVN Shares Move in Warsaw",V,"['News - Negative Sentiment', 'News - Layoffs', 'News - Stocks']",POSITIVE,0.9721713662147522
19,20,2011-10-06 12:50:46,"Trichet Says ECB to Offer Longer Loans, Will Resume Covered-Bond Purchases",V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.9941755533218384
20,21,2011-10-06 21:04:59,"Moderate Brazil Rate Cuts Fit 2012 CPI Goal, Tombini Says",T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.976782500743866
21,22,2011-10-06 13:01:00,"Australian Homes for Sale Jump 5.6% in September, SQM Says",T,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Layoffs', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.9160706996917725
22,23,2011-10-06 16:00:52,Obama Says China Aggressive in ‘Gaming’ Trading System to Its Advantage,V,"['News - Positive Sentiment', 'News - Negative Sentiment', 'News - Stocks', 'News - Dividends']",NEGATIVE,0.9532904624938965
