,Index,Headline,Sentiment_label,processed_text
0,0,Johnson is asking Santa for a Christmas recovery,POS,johnson santa asking christmas recovery
1,1,‘I now fear the worst’: four grim tales of working life upended by Covid-19,NEG,fear worst four grim tale working life upended
2,2,Five key areas Sunak must tackle to serve up economic recovery,NEU,sunak five key area must tackle serve economic recovery
3,3,Covid-19 leaves firms ‘fatally ill-prepared’ for no-deal Brexit,NEG,leaf firm fatally brexit
4,4,The Week in Patriarchy Bacardi's 'lady vodka': the latest in a long line of depressing gendered products,NEG,week patriarchy bacardi vodka latest long line depressing gendered product
5,5,English councils call for smoking ban outside pubs and cafes,NEU,english council call smoking ban outside pub cafe
6,6,Can Tesla justify a $300bn valuation?,NEU,tesla justify valuation
7,7,Empty city centres: 'I’m not sure it will ever be the same again',NEG,empty city centre sure ever
8,8,Democratising finance for all? An investment app for amateurs and a student trader's death,NEG,democratising finance investment app amateur student trader death
9,9,"Homebuyer loses £300,000 to fraudsters – but gets it back after we step in",POS,homebuyer loses fraudsters get back step
10,10,St Mawes named UK’s top seaside resort in Which? poll,POS,mawes uk which st named top seaside resort poll
11,11,Atol protection to be extended to vouchers on Covid-19 cancellations,POS,atol protection extended voucher cancellation
12,12,"Leaseholders billed up to £115,000 each to remove Grenfell-style cladding",NEG,leaseholder billed remove cladding
13,13,Boohoo calls for licensing scheme to ensure textile factories fit to trade,NEU,boohoo call licensing scheme ensure textile factory fit trade
14,14,All Asda HQ staff told to return to office at least once a week from August,NEU,asda hq staff told return office least week august
15,15,"Ask and Zizzi to close 75 outlets, threatening up to 1,200 jobs",NEG,zizzi ask close outlet threatening job
16,16,British Airways retires iconic Boeing 747 fleet – in pictures,NEG,british airways retires iconic boeing fleet picture
17,17,World Bank calls on creditors to cut poorest nations' debt payments,POS,world bank call creditor cut poorest nation debt payment
18,18,British Airways retires Boeing 747 fleet as Covid-19 hits travel,NEG,british airways retires boeing fleet hit travel
19,19,What will changes to England's lockdown rules mean for me?,NEU,england change lockdown rule mean
20,20,In search of a new economics for Covid-19 era,NEU,search new economics era
21,21,Business live Markets hope for progress over EU recovery fund; US consumer confidence drops – as it happened,NEG,eu us business live market hope progress recovery fund consumer confidence drop happened
22,22,"I flew the jumbo for 10 years and never got over how big it was, says 747 pilot",NEU,flew jumbo year never got big say pilot
23,23,BA begins to carry out its 'fire and rehire' threat to jobs,NEG,ba begin carry rehire threat job
24,24,"Johnson's coronavirus workplace guidance confused, warn unions",NEG,johnson coronavirus workplace guidance confused warn union
25,25,What will be changing in Boris Johnson's 'return to normality',NEU,boris johnson changing normality
26,26,Lloyds to increase number of black staff in senior roles,POS,lloyds increase number black staff senior role
27,27,Silicon Valley has deep pockets for African startups – if you’re not African,NEG,silicon valley african african deep pocket startup
28,28,‘What's going to give?’: millions fret as Republicans threaten to halt $600 weekly lifesaver,NEG,going give million fret republican threaten halt weekly lifesaver
29,29,Future of education 'The MIT of the north': how the government plans to transform ex-mining towns,POS,future mit education north government plan transform town
30,30,Battery firm chooses Welsh site for Britain's first gigafactory,POS,battery welsh britain firm chooses site first gigafactory
31,31,Netflix shares drop despite positive second-quarter earnings,NEG,netflix share drop despite positive earnings
32,32,Nils Pratley on finance Centrica left it far too late to tackle its problems,NEG,nils pratley centrica finance left far late tackle problem
33,33,Here's another virus terrorising businesses and causing havoc: ransomware,NEG,another virus terrorising business causing havoc ransomware
34,34,"$11.3bn in IMF Covid-19 money is being used to service debt, says group",NEG,imf money used service debt say group
35,35,A fifth of Brazilian soy in Europe is result of deforestation,NEG,brazilian europe fifth soy result deforestation
