,0
0,POS
1,NEG
2,POS
3,NEG
4,NEG
5,POS
6,POS
7,POS
8,NEG
9,NEG
10,POS
11,POS
12,POS
13,POS
14,NEG
15,POS
16,POS
17,POS
18,POS
19,NEG
20,POS
21,POS
22,POS
23,POS
24,NEG
25,POS
26,NEG
27,POS
28,POS
29,POS
30,POS
31,POS
32,NEG
33,POS
34,POS
35,POS
36,POS
37,NEG
38,NEG
39,POS
40,POS
41,POS
42,POS
43,POS
44,POS
45,NEG
46,NEG
47,POS
48,POS
49,NEG
50,POS
51,POS
52,POS
53,POS
54,NEG
55,POS
56,POS
57,POS
58,NEG
59,POS
60,POS
61,NEG
62,POS
63,POS
64,POS
65,POS
66,POS
67,POS
68,POS
69,POS
70,POS
71,POS
72,POS
73,POS
74,POS
75,POS
76,POS
77,POS
78,POS
79,POS
80,NEG
81,POS
82,NEG
83,POS
84,NEG
85,POS
86,POS
87,POS
88,POS
89,POS
90,POS
91,POS
92,POS
93,POS
94,NEG
95,NEG
96,NEG
97,POS
98,POS
99,NEG
100,POS
101,POS
102,POS
103,POS
104,POS
105,POS
106,POS
107,POS
108,NEG
109,POS
110,POS
111,POS
112,POS
113,POS
114,NEG
115,NEG
116,POS
117,POS
118,POS
119,POS
120,POS
121,POS
122,POS
123,POS
124,POS
125,POS
126,NEG
127,POS
128,POS
129,POS
130,NEG
131,NEG
132,POS
133,POS
134,NEG
135,POS
136,POS
137,POS
138,POS
139,POS
140,POS
141,POS
142,POS
143,POS
144,POS
145,POS
146,POS
147,NEG
148,POS
149,POS
150,POS
151,POS
152,POS
153,POS
154,POS
155,POS
156,POS
157,POS
158,NEG
159,POS
160,POS
161,POS
162,NEG
163,POS
164,POS
165,POS
166,POS
167,NEG
168,POS
169,POS
170,NEG
171,POS
172,NEG
173,POS
174,POS
175,POS
176,POS
177,NEG
178,POS
179,POS
180,POS
181,POS
182,POS
183,POS
184,POS
185,POS
186,POS
187,POS
188,POS
189,POS
190,NEG
191,POS
192,POS
193,POS
194,NEG
195,POS
196,POS
197,POS
198,NEG
199,POS
200,POS
201,NEG
202,POS
203,POS
204,POS
205,POS
206,POS
207,POS
208,POS
209,POS
210,POS
211,NEG
212,POS
213,NEG
214,POS
215,POS
216,POS
217,POS
218,NEG
219,POS
220,NEG
221,POS
222,POS
223,POS
224,POS
225,POS
226,POS
227,POS
228,NEG
229,POS
230,POS
231,POS
232,POS
233,POS
234,POS
235,POS
236,POS
237,POS
238,POS
239,POS
240,POS
241,NEG
242,POS
243,POS
244,POS
245,NEG
246,POS
247,POS
248,POS
249,POS
250,NEG
251,POS
252,POS
253,NEG
254,POS
255,POS
256,POS
257,POS
258,POS
259,POS
260,POS
261,POS
262,NEG
263,NEG
264,POS
265,POS
266,NEG
267,POS
268,POS
269,POS
270,POS
271,POS
272,POS
273,NEG
274,POS
275,POS
276,NEG
277,POS
278,POS
279,NEG
280,POS
281,POS
282,POS
283,POS
284,POS
285,POS
286,POS
287,NEG
288,NEG
289,NEG
290,POS
291,POS
292,POS
293,POS
294,NEG
295,POS
296,POS
297,POS
298,POS
299,POS
300,POS
301,POS
302,POS
303,POS
304,POS
305,POS
306,POS
307,NEG
308,NEG
309,POS
310,POS
311,POS
312,POS
313,NEG
314,NEG
315,POS
316,POS
317,POS
318,NEG
319,POS
320,NEG
321,POS
322,POS
323,POS
324,POS
325,NEG
326,NEG
327,POS
328,NEG
329,POS
330,NEG
331,POS
332,NEG
333,POS
334,POS
335,POS
336,POS
337,NEG
338,NEG
339,NEG
340,POS
341,POS
342,POS
343,POS
344,POS
345,POS
346,POS
347,POS
348,POS
349,NEG
350,POS
351,POS
352,POS
353,POS
354,POS
355,POS
356,POS
357,POS
358,POS
359,POS
360,POS
361,POS
362,POS
363,POS
364,POS
365,POS
366,POS
367,POS
368,POS
369,POS
370,NEG
371,POS
372,NEG
373,POS
374,NEG
375,POS
376,POS
377,POS
378,NEG
379,POS
380,POS
381,POS
382,POS
383,POS
384,POS
385,POS
386,POS
387,POS
388,POS
389,POS
390,POS
391,NEG
392,POS
393,POS
394,POS
395,POS
396,POS
397,POS
398,POS
399,POS
400,POS
401,POS
402,POS
403,NEG
404,POS
405,NEG
406,POS
407,POS
408,POS
409,POS
410,POS
411,POS
412,NEG
413,POS
414,POS
415,POS
416,POS
417,POS
418,POS
419,POS
420,NEG
421,POS
422,NEG
423,POS
424,NEG
425,POS
426,POS
427,POS
428,POS
429,POS
430,POS
431,POS
432,POS
433,POS
434,POS
435,NEG
436,POS
437,POS
438,POS
439,POS
440,POS
441,NEG
442,POS
443,POS
444,POS
445,POS
446,NEG
447,POS
448,POS
449,POS
450,POS
451,POS
452,POS
453,NEG
454,POS
455,POS
456,POS
457,POS
458,POS
459,POS
460,POS
461,NEG
462,POS
463,POS
464,POS
465,POS
466,POS
467,POS
468,POS
469,POS
470,POS
471,POS
472,POS
473,POS
474,POS
475,POS
476,NEG
477,POS
478,POS
479,POS
480,POS
481,POS
482,POS
483,POS
484,POS
485,POS
486,POS
487,POS
488,POS
489,POS
490,POS
491,POS
492,POS
493,NEG
494,POS
495,POS
496,POS
497,POS
498,POS
499,POS
500,POS
501,POS
502,NEG
503,POS
504,NEG
505,NEG
506,POS
507,POS
508,POS
509,POS
510,POS
511,POS
512,POS
513,POS
514,NEG
515,POS
516,POS
517,POS
518,POS
519,NEG
520,POS
521,NEG
522,POS
523,POS
524,POS
525,POS
526,POS
527,POS
528,POS
529,POS
530,POS
531,POS
532,POS
533,POS
534,POS
535,POS
536,POS
537,POS
538,NEG
539,POS
540,POS
541,POS
542,POS
543,POS
544,POS
545,POS
546,POS
547,POS
548,POS
549,POS
550,POS
551,POS
552,NEG
553,POS
554,POS
555,POS
556,POS
557,POS
558,POS
559,POS
560,POS
561,POS
562,POS
563,POS
564,NEG
565,NEG
566,POS
567,POS
568,POS
569,POS
570,POS
571,POS
572,POS
573,NEG
574,POS
575,NEG
576,NEG
577,POS
578,POS
579,POS
580,POS
581,NEG
582,POS
583,NEG
584,POS
585,POS
586,POS
587,POS
588,POS
589,POS
590,POS
591,POS
592,POS
593,NEG
594,NEG
595,POS
596,POS
597,POS
598,POS
599,NEG
600,POS
601,POS
602,POS
603,POS
604,POS
605,POS
606,POS
607,POS
608,POS
609,NEG
610,POS
611,POS
612,POS
613,POS
614,POS
615,POS
616,POS
617,POS
618,NEG
619,POS
620,NEG
621,POS
622,POS
623,NEG
624,POS
625,POS
626,NEG
627,NEG
628,POS
629,NEG
630,POS
631,POS
632,POS
633,NEG
634,POS
635,POS
636,POS
637,POS
638,POS
639,POS
640,POS
641,NEG
642,POS
643,POS
644,NEG
645,POS
646,POS
647,POS
648,POS
649,POS
650,POS
651,POS
652,POS
653,POS
654,POS
655,POS
656,POS
657,NEG
658,POS
659,POS
660,POS
661,POS
662,POS
663,NEG
664,POS
665,POS
666,POS
667,POS
668,NEG
669,POS
670,POS
671,POS
672,POS
673,POS
674,POS
675,POS
676,POS
677,POS
678,POS
679,POS
680,POS
681,NEG
682,POS
683,POS
684,POS
685,POS
686,POS
687,POS
688,POS
689,POS
690,POS
691,POS
692,POS
693,POS
694,POS
695,POS
696,POS
697,NEG
698,POS
699,POS
700,POS
701,POS
702,POS
703,POS
704,POS
705,POS
706,NEG
707,POS
708,POS
709,POS
710,POS
711,POS
712,POS
713,POS
714,POS
715,POS
716,POS
717,POS
718,POS
719,POS
720,POS
721,POS
722,POS
723,POS
724,POS
725,POS
726,POS
727,POS
728,POS
729,POS
730,POS
731,POS
732,POS
733,POS
734,NEG
735,POS
736,POS
737,POS
738,POS
739,POS
740,POS
741,POS
742,POS
743,POS
744,POS
745,POS
746,POS
747,POS
748,POS
749,POS
750,POS
751,POS
752,POS
753,POS
754,POS
755,POS
756,POS
757,POS
758,POS
759,POS
760,POS
761,POS
762,POS
763,POS
764,POS
765,POS
766,POS
767,POS
768,POS
769,POS
770,POS
771,POS
772,POS
773,POS
774,POS
775,POS
776,POS
777,POS
778,POS
779,POS
780,POS
781,POS
782,POS
783,POS
784,POS
785,POS
786,POS
787,POS
788,NEG
789,POS
790,POS
791,POS
792,POS
793,POS
794,POS
795,POS
796,POS
797,POS
798,POS
799,POS
800,POS
801,POS
802,POS
803,POS
804,POS
805,POS
806,POS
807,POS
808,POS
809,POS
810,POS
811,POS
812,POS
813,POS
814,POS
815,POS
816,POS
817,POS
818,POS
819,POS
820,POS
821,POS
822,POS
823,POS
824,POS
825,POS
826,POS
827,POS
828,POS
829,POS
830,POS
831,POS
832,POS
833,POS
834,POS
835,POS
836,POS
837,POS
838,POS
839,POS
840,POS
841,POS
842,POS
843,POS
844,POS
845,POS
846,POS
847,POS
848,NEG
849,POS
850,POS
851,POS
852,POS
853,POS
854,POS
855,POS
856,POS
857,POS
858,POS
859,POS
860,POS
861,POS
862,POS
863,POS
864,POS
865,POS
866,POS
867,POS
868,POS
869,POS
870,POS
871,POS
872,POS
873,POS
874,POS
875,POS
876,POS
877,POS
878,POS
879,POS
880,POS
881,POS
882,POS
883,POS
884,POS
885,POS
886,POS
887,POS
888,POS
889,POS
890,POS
891,POS
892,POS
893,POS
894,POS
895,POS
896,POS
897,POS
898,POS
899,POS
900,POS
901,POS
902,POS
903,POS
904,POS
905,POS
906,POS
907,POS
908,POS
909,POS
910,POS
911,POS
912,POS
913,POS
914,POS
915,POS
916,POS
917,POS
918,POS
919,POS
920,POS
921,POS
922,POS
923,POS
924,POS
925,POS
926,POS
927,POS
928,POS
929,POS
930,POS
931,POS
932,POS
933,POS
934,POS
935,POS
936,POS
937,POS
938,POS
939,POS
940,POS
941,POS
942,POS
943,POS
944,POS
945,POS
946,POS
947,POS
948,POS
949,POS
950,POS
951,POS
952,POS
953,POS
954,POS
955,POS
956,POS
957,POS
958,POS
959,POS
960,POS
961,POS
962,POS
963,POS
964,POS
965,POS
966,POS
967,POS
968,POS
969,POS
970,POS
971,POS
972,POS
973,POS
974,POS
975,POS
976,POS
977,POS
978,POS
979,POS
980,POS
981,POS
982,POS
983,POS
984,POS
985,POS
986,POS
987,POS
988,POS
989,POS
990,POS
991,POS
992,POS
993,POS
994,POS
995,POS
996,POS
997,POS
998,POS
999,POS
1000,POS
1001,POS
1002,POS
1003,POS
1004,POS
1005,POS
1006,POS
1007,POS
1008,POS
1009,POS
1010,POS
1011,POS
1012,POS
1013,POS
1014,POS
1015,POS
1016,POS
1017,POS
1018,POS
1019,POS
1020,POS
1021,POS
1022,POS
1023,POS
1024,POS
1025,POS
1026,POS
1027,POS
1028,POS
1029,POS
1030,POS
1031,POS
1032,POS
1033,POS
1034,POS
1035,POS
1036,POS
1037,POS
1038,POS
1039,POS
1040,POS
1041,POS
1042,POS
1043,POS
1044,POS
1045,POS
1046,POS
1047,POS
1048,POS
1049,POS
1050,POS
1051,POS
1052,POS
1053,POS
1054,POS
1055,POS
1056,POS
1057,POS
1058,POS
1059,POS
1060,POS
1061,POS
1062,POS
1063,POS
1064,POS
1065,POS
1066,POS
1067,POS
1068,POS
1069,POS
1070,POS
1071,POS
1072,POS
1073,POS
1074,POS
1075,POS
1076,POS
1077,POS
1078,POS
1079,POS
1080,POS
1081,POS
1082,POS
1083,POS
1084,POS
1085,POS
1086,POS
1087,POS
1088,POS
1089,POS
1090,POS
1091,POS
1092,POS
1093,POS
1094,POS
1095,POS
1096,POS
1097,POS
1098,POS
1099,POS
1100,POS
1101,POS
1102,POS
1103,POS
1104,POS
1105,POS
1106,POS
1107,POS
1108,POS
1109,POS
1110,POS
1111,POS
1112,POS
1113,POS
1114,POS
1115,POS
1116,POS
1117,POS
1118,POS
1119,POS
1120,POS
1121,POS
1122,POS
1123,POS
1124,POS
1125,POS
1126,POS
1127,POS
1128,POS
1129,POS
1130,POS
1131,POS
1132,POS
1133,POS
1134,POS
1135,POS
1136,POS
1137,POS
1138,POS
1139,POS
1140,POS
1141,POS
1142,POS
1143,POS
1144,POS
1145,POS
1146,POS
1147,POS
1148,POS
1149,POS
1150,POS
1151,POS
1152,POS
1153,POS
1154,POS
1155,POS
1156,POS
1157,POS
1158,POS
1159,POS
1160,POS
1161,POS
1162,POS
1163,POS
1164,POS
1165,POS
1166,POS
1167,POS
1168,POS
1169,POS
1170,POS
1171,POS
1172,POS
1173,POS
1174,POS
1175,POS
