,0
0,POS
1,NEG
2,POS
3,NEG
4,NEG
5,NEG
6,POS
7,POS
8,NEG
9,NEG
10,POS
11,POS
12,POS
13,POS
14,POS
15,NEG
16,POS
17,NEG
18,POS
19,POS
20,POS
21,POS
22,POS
23,NEG
24,NEG
25,POS
26,POS
27,POS
28,POS
29,POS
30,POS
31,NEG
32,NEG
33,NEG
34,NEG
35,POS
36,POS
37,NEG
38,POS
39,POS
40,POS
41,POS
42,POS
43,NEG
44,NEG
45,NEG
46,POS
47,NEG
48,POS
49,POS
50,POS
51,POS
52,NEG
53,NEG
54,NEG
55,NEG
56,NEG
57,POS
58,POS
59,NEG
60,NEG
61,POS
62,POS
63,NEG
64,NEG
65,POS
66,POS
67,NEG
68,NEG
69,POS
70,NEG
71,NEG
72,NEG
73,POS
74,NEG
75,POS
76,POS
77,NEG
78,POS
79,NEG
80,POS
81,POS
82,NEG
83,POS
84,POS
85,POS
86,POS
87,POS
88,POS
89,POS
90,NEG
91,POS
92,NEG
93,POS
94,NEG
95,POS
96,NEG
97,POS
98,POS
99,POS
100,POS
101,POS
102,POS
103,POS
104,POS
105,POS
106,POS
107,NEG
108,POS
109,POS
110,POS
111,NEG
112,POS
113,POS
114,NEG
115,POS
116,POS
117,NEG
118,POS
119,POS
120,POS
121,POS
122,POS
123,NEG
124,NEG
125,POS
126,NEG
127,POS
128,POS
129,NEG
130,POS
131,POS
132,POS
133,NEG
134,NEG
135,POS
136,POS
137,POS
138,POS
139,NEG
140,NEG
141,POS
142,POS
143,NEG
144,NEG
145,NEG
146,POS
147,POS
148,POS
149,POS
150,POS
151,POS
152,POS
153,POS
154,POS
155,NEG
156,NEG
157,POS
158,NEG
159,NEG
160,POS
161,POS
162,POS
163,POS
164,POS
165,POS
166,POS
167,NEG
168,POS
169,POS
170,NEG
171,POS
172,POS
173,NEG
174,POS
175,POS
176,POS
177,POS
178,POS
179,POS
180,POS
181,POS
182,NEG
183,POS
184,NEG
185,NEG
186,NEG
187,NEG
188,NEG
189,POS
190,NEG
191,POS
192,NEG
193,NEG
194,NEG
195,NEG
196,NEG
197,NEG
198,NEG
199,NEG
200,POS
201,POS
202,POS
203,NEG
204,NEG
205,POS
206,NEG
207,NEG
208,POS
209,POS
210,NEG
211,NEG
212,POS
213,POS
214,POS
215,POS
216,NEG
217,POS
218,NEG
219,POS
220,NEG
221,POS
222,POS
223,POS
224,NEG
225,POS
226,POS
227,POS
228,NEG
229,POS
230,POS
231,POS
232,NEG
233,POS
234,NEG
235,POS
236,NEG
237,NEG
238,POS
239,NEG
240,POS
241,NEG
242,NEG
243,POS
244,NEG
245,NEG
246,NEG
247,POS
248,POS
249,NEG
250,NEG
251,NEG
252,POS
253,POS
254,POS
255,POS
256,POS
257,NEG
258,POS
259,NEG
260,POS
261,NEG
262,POS
263,NEG
264,POS
265,NEG
266,NEG
267,POS
268,NEG
269,POS
270,POS
271,POS
272,NEG
273,POS
274,POS
275,POS
276,NEG
277,POS
278,POS
279,NEG
280,POS
281,POS
282,POS
283,POS
284,POS
285,POS
286,POS
287,POS
288,POS
289,POS
290,POS
291,POS
292,POS
293,POS
294,POS
295,NEG
296,NEG
297,POS
298,NEG
299,POS
300,NEG
301,POS
302,POS
303,POS
304,POS
305,POS
306,NEG
307,NEG
308,POS
309,NEG
310,POS
311,POS
312,POS
313,NEG
314,POS
315,POS
316,POS
317,POS
318,NEG
319,POS
320,POS
321,POS
322,NEG
323,NEG
324,NEG
325,POS
326,POS
327,NEG
328,NEG
329,NEG
330,NEG
331,NEG
332,POS
333,POS
334,NEG
335,NEG
336,POS
337,NEG
338,NEG
339,POS
340,NEG
341,POS
342,NEG
343,POS
344,POS
345,NEG
346,NEG
347,POS
348,NEG
349,POS
350,NEG
351,POS
352,NEG
353,POS
354,NEG
355,POS
356,NEG
357,POS
358,NEG
359,NEG
360,NEG
361,NEG
362,NEG
363,POS
364,POS
365,NEG
366,NEG
367,POS
368,NEG
369,NEG
370,POS
371,NEG
372,NEG
373,POS
374,NEG
375,POS
376,POS
377,NEG
378,NEG
379,NEG
380,NEG
381,POS
382,POS
383,NEG
384,NEG
385,POS
386,POS
387,POS
388,NEG
389,POS
390,POS
391,POS
392,NEG
393,NEG
394,POS
395,POS
396,POS
397,POS
398,NEG
399,POS
400,POS
401,POS
402,POS
403,POS
404,POS
405,POS
406,NEG
407,POS
408,POS
409,POS
410,NEG
411,NEG
412,POS
413,POS
414,NEG
415,POS
416,POS
417,POS
418,POS
419,POS
420,NEG
421,POS
422,NEG
423,POS
424,NEG
425,NEG
426,NEG
427,POS
428,POS
429,NEG
430,POS
431,POS
432,POS
433,POS
434,POS
435,POS
436,POS
437,POS
438,POS
439,NEG
440,POS
441,NEG
442,POS
443,POS
444,NEG
445,POS
446,POS
447,POS
448,NEG
449,NEG
450,NEG
451,POS
452,POS
453,NEG
454,POS
455,POS
456,POS
457,NEG
458,POS
459,NEG
460,NEG
461,NEG
462,NEG
463,POS
464,NEG
465,NEG
466,NEG
467,NEG
468,NEG
469,POS
470,NEG
471,NEG
472,POS
473,POS
474,NEG
475,POS
476,POS
477,NEG
478,NEG
479,NEG
480,POS
481,POS
482,NEG
483,POS
484,NEG
485,NEG
486,POS
487,POS
488,POS
489,POS
490,POS
491,NEG
492,POS
493,POS
494,NEG
495,POS
496,NEG
497,POS
498,POS
499,NEG
500,NEG
501,NEG
502,NEG
503,NEG
504,NEG
505,NEG
506,NEG
507,POS
508,POS
509,NEG
510,POS
511,POS
512,POS
513,NEG
514,NEG
515,NEG
516,POS
517,NEG
518,NEG
519,NEG
520,POS
521,NEG
522,POS
523,NEG
524,NEG
525,POS
526,POS
527,POS
528,NEG
529,NEG
530,POS
531,POS
532,POS
533,POS
534,POS
535,POS
536,POS
537,POS
538,NEG
539,POS
540,POS
541,POS
542,NEG
543,NEG
544,POS
545,NEG
546,POS
547,POS
548,POS
549,POS
550,POS
551,NEG
552,NEG
553,NEG
554,POS
555,POS
556,POS
557,POS
558,NEG
559,POS
560,POS
561,NEG
562,POS
563,POS
564,NEG
565,NEG
566,POS
567,POS
568,POS
569,POS
570,POS
571,POS
572,POS
573,POS
574,POS
575,POS
576,POS
577,POS
578,POS
579,POS
580,POS
581,NEG
582,POS
583,POS
584,NEG
585,NEG
586,POS
587,POS
588,NEG
589,POS
590,POS
591,NEG
592,POS
593,NEG
594,POS
595,POS
596,POS
597,POS
598,POS
599,POS
600,POS
601,POS
602,POS
603,POS
604,POS
605,NEG
606,POS
607,NEG
608,NEG
609,NEG
610,POS
611,NEG
612,POS
613,POS
614,POS
615,NEG
616,POS
617,POS
618,NEG
619,POS
620,POS
621,NEG
622,POS
623,POS
624,POS
625,POS
626,NEG
627,NEG
628,NEG
629,POS
630,POS
631,NEG
632,POS
633,POS
634,POS
635,POS
636,POS
637,NEG
638,POS
639,NEG
640,POS
641,POS
642,NEG
643,POS
644,POS
645,NEG
646,NEG
647,POS
648,POS
649,POS
650,NEG
651,POS
652,POS
653,POS
654,NEG
655,POS
656,NEG
657,POS
658,NEG
659,NEG
660,NEG
661,NEG
662,NEG
663,NEG
664,NEG
665,NEG
666,POS
667,POS
668,NEG
669,POS
670,NEG
671,POS
672,NEG
673,POS
674,POS
675,NEG
676,NEG
677,POS
678,NEG
679,NEG
680,NEG
681,NEG
682,NEG
683,POS
684,POS
685,NEG
686,NEG
687,NEG
688,POS
689,NEG
690,POS
691,NEG
692,POS
693,POS
694,NEG
695,POS
696,POS
697,NEG
698,POS
699,POS
700,POS
701,NEG
702,NEG
703,NEG
704,NEG
705,NEG
706,NEG
707,NEG
708,NEG
709,POS
710,NEG
711,POS
712,POS
713,POS
714,NEG
715,POS
716,NEG
717,NEG
718,NEG
719,NEG
720,POS
721,NEG
722,POS
723,NEG
724,NEG
725,NEG
726,POS
727,POS
728,POS
729,NEG
730,NEG
731,NEG
732,NEG
733,NEG
734,NEG
735,NEG
736,NEG
737,NEG
738,NEG
739,POS
740,POS
741,NEG
742,NEG
743,NEG
744,NEG
745,POS
746,NEG
747,POS
748,POS
749,NEG
750,NEG
751,NEG
752,NEG
753,POS
754,POS
755,POS
756,NEG
757,NEG
758,NEG
759,NEG
760,NEG
761,NEG
762,POS
763,NEG
764,NEG
765,NEG
766,POS
767,POS
768,NEG
769,NEG
770,NEG
771,NEG
772,NEG
773,NEG
774,POS
775,POS
776,NEG
777,NEG
778,NEG
779,NEG
780,POS
781,POS
782,POS
783,NEG
784,NEG
785,NEG
786,POS
787,NEG
788,NEG
789,NEG
790,NEG
791,NEG
792,NEG
793,POS
794,POS
795,NEG
796,NEG
797,NEG
798,NEG
799,POS
800,POS
801,POS
802,POS
803,NEG
804,NEG
805,POS
806,NEG
807,POS
808,POS
809,NEG
810,NEG
811,NEG
812,NEG
813,POS
814,POS
815,POS
816,NEG
817,NEG
818,NEG
819,NEG
820,NEG
821,NEG
822,POS
823,NEG
824,NEG
825,NEG
826,POS
827,POS
828,NEG
829,NEG
830,NEG
831,NEG
832,NEG
833,NEG
834,POS
835,POS
836,NEG
837,NEG
838,NEG
839,NEG
840,POS
841,POS
842,POS
843,NEG
844,NEG
845,NEG
846,POS
847,NEG
848,NEG
849,NEG
850,NEG
851,NEG
852,NEG
853,POS
854,POS
855,NEG
856,NEG
857,NEG
858,NEG
859,POS
860,POS
861,POS
862,POS
863,NEG
864,NEG
865,POS
866,NEG
867,POS
868,POS
869,NEG
870,NEG
871,NEG
872,NEG
873,POS
874,POS
875,POS
876,NEG
877,NEG
878,NEG
879,NEG
880,NEG
881,NEG
882,POS
883,NEG
884,NEG
885,NEG
886,POS
887,POS
888,NEG
889,NEG
890,NEG
891,NEG
892,NEG
893,NEG
894,POS
895,POS
896,NEG
897,NEG
898,NEG
899,NEG
900,POS
901,POS
902,POS
903,NEG
904,NEG
905,NEG
906,POS
907,NEG
908,POS
909,POS
910,NEG
911,NEG
912,NEG
913,NEG
914,POS
915,POS
916,POS
917,NEG
918,NEG
919,NEG
920,NEG
921,NEG
922,NEG
923,POS
924,NEG
925,NEG
926,NEG
927,POS
928,POS
929,NEG
930,NEG
931,NEG
932,NEG
933,NEG
934,NEG
935,POS
936,POS
937,NEG
938,NEG
939,NEG
940,NEG
941,POS
942,POS
943,POS
944,NEG
945,NEG
946,NEG
947,POS
948,NEG
949,POS
950,POS
951,NEG
952,NEG
953,NEG
954,NEG
955,POS
956,POS
957,POS
958,NEG
959,NEG
960,NEG
961,NEG
962,NEG
963,NEG
964,POS
965,NEG
966,NEG
967,NEG
968,POS
969,POS
970,NEG
971,NEG
972,NEG
973,NEG
974,NEG
975,NEG
976,POS
977,POS
978,NEG
979,NEG
980,NEG
981,NEG
982,POS
983,POS
984,POS
985,NEG
986,NEG
987,NEG
988,POS
989,NEG
990,POS
991,POS
992,NEG
993,NEG
994,NEG
995,NEG
996,POS
997,POS
998,POS
999,NEG
1000,NEG
1001,NEG
1002,NEG
1003,NEG
1004,NEG
1005,POS
1006,NEG
1007,NEG
1008,NEG
1009,POS
1010,POS
1011,NEG
1012,NEG
1013,NEG
1014,NEG
1015,NEG
1016,NEG
1017,POS
1018,POS
1019,NEG
1020,NEG
1021,NEG
1022,NEG
1023,POS
1024,POS
1025,POS
1026,NEG
1027,NEG
1028,NEG
1029,POS
1030,NEG
1031,POS
1032,POS
1033,NEG
1034,NEG
1035,NEG
1036,NEG
1037,POS
1038,POS
1039,POS
1040,NEG
1041,NEG
1042,NEG
1043,NEG
1044,NEG
1045,NEG
1046,POS
1047,NEG
1048,NEG
1049,NEG
1050,POS
1051,POS
1052,NEG
1053,NEG
1054,NEG
1055,NEG
1056,NEG
1057,NEG
1058,POS
1059,POS
1060,NEG
1061,NEG
1062,NEG
1063,NEG
1064,POS
1065,POS
1066,POS
1067,NEG
1068,NEG
1069,NEG
1070,POS
1071,NEG
1072,POS
1073,POS
1074,NEG
1075,NEG
1076,NEG
1077,NEG
1078,POS
1079,POS
1080,POS
1081,NEG
1082,NEG
1083,NEG
1084,NEG
1085,NEG
1086,NEG
1087,POS
1088,NEG
1089,NEG
1090,NEG
1091,POS
1092,POS
1093,NEG
1094,NEG
1095,NEG
1096,NEG
1097,NEG
1098,NEG
1099,POS
1100,POS
1101,NEG
1102,NEG
1103,NEG
1104,NEG
