,0
0,NEU
1,NEG
2,NEU
3,NEG
4,NEG
5,NEG
6,NEU
7,POS
8,NEG
9,NEG
10,POS
11,NEU
12,NEU
13,POS
14,NEU
15,NEG
16,NEU
17,NEG
18,NEU
19,NEU
20,NEU
21,POS
22,NEU
23,NEG
24,NEG
25,NEU
26,POS
27,NEU
28,POS
29,NEU
30,NEU
31,NEG
32,NEG
33,NEG
34,NEG
35,NEU
36,NEU
37,NEG
38,POS
39,POS
40,NEU
41,POS
42,NEU
43,NEG
44,NEG
45,NEG
46,NEU
47,NEG
48,NEU
49,NEU
50,POS
51,NEU
52,NEG
53,NEG
54,NEG
55,NEG
56,NEG
57,POS
58,POS
59,NEG
60,NEG
61,POS
62,NEU
63,NEG
64,NEG
65,POS
66,POS
67,NEG
68,NEG
69,NEU
70,NEG
71,NEG
72,NEG
73,POS
74,NEG
75,NEU
76,POS
77,NEG
78,POS
79,NEG
80,POS
81,NEU
82,NEG
83,NEU
84,NEU
85,POS
86,POS
87,NEU
88,POS
89,POS
90,NEG
91,POS
92,NEG
93,NEU
94,NEG
95,POS
96,NEG
97,POS
98,POS
99,NEU
100,POS
101,POS
102,NEU
103,POS
104,NEU
105,NEU
106,NEU
107,NEG
108,POS
109,POS
110,NEU
111,NEG
112,POS
113,NEU
114,NEG
115,POS
116,POS
117,NEG
118,NEU
119,POS
120,POS
121,NEU
122,POS
123,NEG
124,NEG
125,POS
126,NEG
127,NEU
128,NEU
129,NEU
130,NEU
131,NEU
132,NEU
133,NEG
134,NEG
135,POS
136,NEU
137,POS
138,NEU
139,NEG
140,NEG
141,NEU
142,POS
143,NEG
144,NEG
145,NEG
146,NEU
147,POS
148,POS
149,NEU
150,NEU
151,POS
152,NEU
153,POS
154,NEU
155,NEG
156,NEG
157,NEU
158,NEG
159,NEG
160,POS
161,POS
162,NEU
163,POS
164,NEU
165,NEU
166,POS
167,NEG
168,POS
169,NEU
170,NEG
171,POS
172,NEU
173,NEG
174,NEU
175,NEU
176,NEU
177,NEU
178,NEU
179,POS
180,POS
181,NEU
182,NEG
183,POS
184,NEG
185,NEG
186,NEG
187,NEG
188,NEG
189,NEU
190,NEG
191,POS
192,NEG
193,NEG
194,NEG
195,NEG
196,NEG
197,NEG
198,NEG
199,NEG
200,NEU
201,NEU
202,NEU
203,NEG
204,NEG
205,NEU
206,NEG
207,NEG
208,NEU
209,POS
210,NEG
211,NEG
212,NEU
213,POS
214,POS
215,POS
216,NEG
217,NEU
218,NEG
219,POS
220,NEG
221,NEU
222,NEU
223,POS
224,NEG
225,NEU
226,NEU
227,NEU
228,NEG
229,POS
230,NEU
231,NEU
232,NEG
233,POS
234,NEG
235,NEU
236,NEG
237,NEG
238,NEU
239,NEG
240,POS
241,NEG
242,NEG
243,POS
244,NEG
245,NEG
246,NEG
