Date,Close,Open,High,Low,Return,Return%,Log Return,Log Return-3d,Log Return-5d,SMA-5d,SMA-8d,SMA-13d,SMA-21d,EMA-5d,EMA-8d,EMA-12d,EMA-26d,RSI-14d,RSI-21d,UpperBollingerBand,LowerBollingerBand,MACD,Stoc%K,TR,ATR,Gain,Loss,,,,,
6/17/2025,5982.72,6012.15,6023.25,5974.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
6/16/2025,6033.11,6004,6050.83,6004,-50.39,-0.008352243,-1.702344358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.39,0,,,,,
6/13/2025,5976.97,6000.56,6026.16,5963.21,56.14,0.009392719,1.749272408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.55,NA,0,56.14,,,,,
6/12/2025,6045.26,6009.9,6045.43,6003.88,-68.29,-0.011296454,-1.834357113,-1.796157877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.46,NA,68.29,0,,,,,
6/11/2025,6022.24,6049.38,6059.4,6002.32,23.02,0.003822498,1.362105319,1.036229544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.29081857,14.14,34.02,0,23.02,,,,,
6/10/2025,6038.81,6009.91,6043.01,6000.28,-16.57,-0.002743918,-1.219322508,-1.791269481,-1.74888544,6016.518333,NA,NA,NA,6016.518333,NA,NA,NA,NA,NA,NA,NA,NA,85.63474388,20.77,31.274,16.57,0,,,,,
6/9/2025,6005.88,6004.63,6021.31,5994.18,32.93,0.00548296,1.517591731,1.595275712,1.435047641,6020.378333,NA,NA,NA,6012.972222,NA,NA,NA,NA,NA,NA,NA,NA,66.90784846,34.18,20.52,0,32.93,,,,,
6/6/2025,6000.36,5987.06,6016.87,5978.63,5.52,0.000919945,0.741939078,1.340047318,-1.369030222,6014.92,NA,NA,NA,6008.768148,NA,NA,NA,NA,NA,6064.108255,5965.731745,NA,61.36066727,18.82,27.928,0,5.52,,,,,
6/5/2025,5939.3,5985.67,5999.7,5921.2,61.06,0.010280673,1.7857568,1.997866726,2.02514195,6008.641667,6004.961111,NA,NA,5985.612099,6004.961111,NA,NA,NA,NA,6043.861034,5973.422299,NA,0,14.69,30.224,0,61.06,,,,,
6/4/2025,5970.81,5978.94,5990.48,5966.11,-31.51,-0.005277341,-1.498448403,1.544935766,1.711216524,5996.233333,6003.637778,NA,NA,5980.678066,5997.371975,NA,NA,NA,NA,6063.828257,5928.63841,NA,54.12915244,51.18,38.126,31.51,0,,,,,
6/3/2025,5970.37,5938.56,5981.35,5929,0.44,7.36973E-05,-0.356547324,1.476976466,1.835310001,5987.588333,5996.666667,NA,NA,5977.242044,5991.371536,NA,NA,NA,NA,6054.96988,5920.206786,NA,99.25575101,32.25,40.816,0,0.44,,,,,
6/2/2025,5935.94,5896.68,5937.4,5861.43,34.43,0.005800261,1.536937023,0.526339277,1.844725628,5970.443333,5992.107778,NA,NA,5963.474696,5979.053417,NA,NA,NA,NA,6018.465956,5922.420711,NA,41.01826793,73.69,44.166,0,34.43,,,,,
5/30/2025,5911.69,5903.67,5922.14,5843.66,24.25,0.004102042,1.384711743,1.771734425,1.947776708,5954.745,5977.266667,NA,NA,5946.213131,5964.083769,5987.189231,NA,NA,NA,6002.110663,5907.379337,NA,28.28159374,32.27,39.48,0,24.25,,,,,
