Date,Close,Open,High,Low,Return
6/17/25,5982.72,6012.15,6023.25,5974.8,NA
6/16/25,6033.11,6004,6050.83,6004,50.39
6/13/25,5976.97,6000.56,6026.16,5963.21,-56.14
6/12/25,6045.26,6009.9,6045.43,6003.88,68.29
6/11/25,6022.24,6049.38,6059.4,6002.32,-23.02
6/10/25,6038.81,6009.91,6043.01,6000.28,16.57
6/9/25,6005.88,6004.63,6021.31,5994.18,-32.93
6/6/25,6000.36,5987.06,6016.87,5978.63,-5.52
6/5/25,5939.3,5985.67,5999.7,5921.2,-61.06
6/4/25,5970.81,5978.94,5990.48,5966.11,31.51
6/3/25,5970.37,5938.56,5981.35,5929,-0.44
6/2/25,5935.94,5896.68,5937.4,5861.43,-34.43
5/30/25,5911.69,5903.67,5922.14,5843.66,-24.25
5/29/25,5912.17,5939.96,5943.13,5873.8,0.48
5/28/25,5888.55,5925.54,5939.92,5881.88,-23.62
5/27/25,5921.54,5854.07,5924.33,5854.07,32.99
5/23/25,5802.82,5781.89,5829.51,5767.41,-118.72
5/22/25,5842.01,5841.26,5878.08,5825.82,39.19
5/21/25,5844.61,5910.18,5938.37,5830.91,2.6
5/20/25,5940.46,5944.66,5953.06,5909.26,95.85
5/19/25,5963.6,5902.88,5968.61,5895.69,23.14
5/16/25,5958.38,5929.09,5958.62,5907.36,-5.22
5/15/25,5916.93,5869.82,5924.21,5865.16,-41.45
5/14/25,5892.58,5896.74,5906.55,5872.11,-24.35
5/13/25,5886.55,5854.15,5906.64,5845.02,-6.03
5/12/25,5844.19,5807.2,5845.37,5786.08,-42.36
5/9/25,5659.91,5679.65,5691.69,5644.15,-184.28
5/8/25,5663.94,5663.6,5720.1,5635.38,4.03
5/7/25,5631.28,5614.18,5654.73,5578.64,-32.66
5/6/25,5606.91,5605.87,5649.58,5586.04,-24.37
5/5/25,5650.38,5655.32,5683.38,5634.48,43.47
5/2/25,5686.67,5645.88,5700.7,5642.28,36.29
5/1/25,5604.14,5625.14,5658.91,5597.35,-82.53
4/30/25,5569.06,5499.44,5581.84,5433.24,-35.08
4/29/25,5560.83,5508.87,5571.95,5505.7,-8.23
4/28/25,5528.75,5529.22,5553.66,5468.64,-32.08
4/25/25,5525.21,5489.73,5528.11,5455.86,-3.54
4/24/25,5484.77,5381.38,5489.4,5371.96,-40.44
4/23/25,5375.86,5395.92,5469.69,5356.17,-108.91
4/22/25,5287.76,5207.67,5309.61,5207.67,-88.1
4/21/25,5158.2,5232.94,5232.94,5101.63,-129.56
4/17/25,5282.7,5305.45,5328.31,5255.58,124.5
4/16/25,5275.7,5335.75,5367.24,5220.79,-7
4/15/25,5396.63,5411.99,5450.41,5386.44,120.93
4/14/25,5405.97,5441.96,5459.46,5358.02,9.34
4/11/25,5363.36,5255.56,5381.46,5220.77,-42.61
4/10/25,5268.05,5353.15,5353.15,5115.27,-95.31
4/9/25,5456.9,4965.28,5481.34,4948.43,188.85
4/8/25,4982.77,5193.57,5267.47,4910.42,-474.13
4/7/25,5062.25,4953.79,5246.57,4835.04,79.48
4/4/25,5074.08,5292.14,5292.14,5069.9,11.83
4/3/25,5396.52,5492.74,5499.53,5390.83,322.44
4/2/25,5670.97,5580.76,5695.31,5571.48,274.45
4/1/25,5633.07,5597.53,5650.57,5558.52,-37.9
3/31/25,5611.85,5527.91,5627.56,5488.73,-21.22
3/28/25,5580.94,5679.2,5685.89,5572.42,-30.91
3/27/25,5693.31,5695.64,5732.28,5670.94,112.37
3/26/25,5712.2,5771.66,5783.62,5694.41,18.89
3/25/25,5776.65,5775.96,5786.95,5760.42,64.45
3/24/25,5767.57,5718.08,5775.14,5718.08,-9.08
3/21/25,5667.56,5630.73,5670.84,5603.1,-100.01
3/20/25,5662.89,5646.92,5711.15,5632.33,-4.67
3/19/25,5675.29,5632.37,5715.33,5622.2,12.4
3/18/25,5614.66,5654.53,5654.53,5597.76,-60.63
3/17/25,5675.12,5635.6,5703.52,5631.12,60.46
3/14/25,5638.94,5563.85,5645.27,5563.85,-36.18
3/13/25,5521.52,5594.45,5597.78,5504.65,-117.42
3/12/25,5599.3,5624.84,5642.19,5546.09,77.78
3/11/25,5572.07,5603.65,5636.3,5528.41,-27.23
3/10/25,5614.56,5705.37,5705.37,5564.02,42.49
3/7/25,5770.2,5726.01,5783.01,5666.29,155.64
3/6/25,5738.52,5785.87,5812.08,5711.64,-31.68
3/5/25,5842.63,5781.36,5860.59,5742.35,104.11
3/4/25,5778.15,5811.98,5865.08,5732.59,-64.48
3/3/25,5849.72,5968.33,5986.09,5810.91,71.57
2/28/25,5954.5,5856.74,5959.4,5837.66,104.78
2/27/25,5861.57,5981.88,5993.69,5858.78,-92.93
2/26/25,5956.06,5970.87,6009.82,5932.69,94.49
2/25/25,5955.25,5982.73,5992.65,5908.49,-0.81
2/24/25,5983.25,6026.69,6043.65,5977.83,28
2/21/25,6013.13,6114.1,6114.82,6008.56,29.88
2/20/25,6117.52,6134.5,6134.5,6084.59,104.39
2/19/25,6144.15,6117.76,6147.43,6111.15,26.63
2/18/25,6129.58,6121.6,6129.63,6099.51,-14.57
2/14/25,6114.63,6115.52,6127.47,6107.62,-14.95
2/13/25,6115.07,6060.59,6116.91,6050.95,0.44
2/12/25,6051.97,6025.08,6063,6003,-63.1
2/11/25,6068.5,6049.32,6076.28,6042.34,16.53
2/10/25,6066.44,6046.4,6073.38,6044.84,-2.06
2/7/25,6025.99,6083.13,6101.28,6019.96,-40.45
2/6/25,6083.57,6072.22,6084.03,6046.83,57.58
2/5/25,6061.48,6020.45,6062.86,6007.06,-22.09
2/4/25,6037.88,5998.14,6042.48,5990.87,-23.6
2/3/25,5994.57,5969.65,6022.13,5923.93,-43.31
1/31/25,6040.53,6096.79,6120.91,6030.93,45.96
1/30/25,6071.17,6050.75,6086.64,6027.46,30.64
1/29/25,6039.31,6057.7,6062.83,6012.96,-31.86
1/28/25,6067.7,6026.97,6074.54,5994.63,28.39
1/27/25,6012.28,5969.04,6017.17,5962.92,-55.42
1/24/25,6101.24,6121.43,6128.18,6088.74,88.96
1/23/25,6118.71,6076.32,6118.73,6074.67,17.47
1/22/25,6086.37,6081.39,6100.81,6076.13,-32.34
1/21/25,6049.24,6014.12,6051.51,6006.88,-37.13
1/17/25,5996.66,5995.4,6014.96,5978.44,-52.58
1/16/25,5937.34,5963.61,5964.69,5930.72,-59.32
1/15/25,5949.91,5905.21,5960.61,5905.21,12.57
1/14/25,5842.91,5859.27,5871.92,5805.42,-107
1/13/25,5836.22,5782.02,5838.61,5773.31,-6.69
1/10/25,5827.04,5890.35,5890.35,5807.78,-9.18
1/8/25,5918.25,5910.66,5927.89,5874.78,91.21
1/7/25,5909.03,5993.26,6000.68,5890.68,-9.22
1/6/25,5975.38,5982.81,6021.04,5960.01,66.35
1/3/25,5942.47,5891.07,5949.34,5888.66,-32.91
1/2/25,5868.55,5903.26,5935.09,5829.53,-73.92
12/31/24,5881.63,5919.74,5929.74,5868.86,13.08
12/30/24,5906.94,5920.67,5940.79,5869.16,25.31
12/27/24,5970.84,6006.17,6006.17,5932.95,63.9
12/26/24,6037.59,6024.97,6049.75,6007.37,66.75
12/24/24,6040.04,5984.63,6040.1,5981.44,2.45
12/23/24,5974.07,5940.25,5978.25,5902.57,-65.97
12/20/24,5930.85,5842,5982.06,5832.3,-43.22
12/19/24,5867.08,5912.71,5935.52,5866.07,-63.77
12/18/24,5872.16,6047.65,6070.67,5867.79,5.08
12/17/24,6050.61,6052.55,6057.68,6035.19,178.45
12/16/24,6074.08,6063.79,6085.19,6059.14,23.47
12/13/24,6051.09,6068.17,6078.58,6035.77,-22.99
12/12/24,6051.25,6074.29,6079.68,6051.25,0.16
12/11/24,6084.19,6060.15,6092.59,6060.15,32.94
12/10/24,6034.91,6057.59,6065.4,6029.89,-49.28
12/9/24,6052.85,6083.01,6088.51,6048.63,17.94
12/6/24,6090.27,6081.38,6099.97,6079.98,37.42
12/5/24,6075.11,6089.03,6094.55,6072.9,-15.16
12/4/24,6086.49,6069.39,6089.84,6061.06,11.38
12/3/24,6049.88,6042.97,6052.07,6033.39,-36.61
12/2/24,6047.15,6040.11,6053.58,6035.33,-2.73
11/29/24,6032.38,6003.98,6044.17,6003.98,-14.77
11/27/24,5998.74,6014.11,6020.16,5984.87,-33.64
11/26/24,6021.63,6000.03,6025.42,5992.27,22.89
11/25/24,5987.37,5992.28,6020.75,5963.91,-34.26
11/22/24,5969.34,5944.36,5972.9,5944.36,-18.03
11/21/24,5948.71,5940.58,5963.32,5887.26,-20.63
11/20/24,5917.11,5914.34,5920.67,5860.56,-31.6
11/19/24,5916.98,5870.05,5923.51,5855.29,-0.13
11/18/24,5893.62,5874.17,5908.12,5865.95,-23.36
11/15/24,5870.62,5912.79,5915.32,5853.01,-23
11/14/24,5949.17,5989.68,5993.88,5942.28,78.55
11/13/24,5985.38,5985.75,6008.19,5965.91,36.21
11/12/24,5983.99,6003.6,6009.92,5960.08,-1.39
11/11/24,6001.35,6008.86,6017.31,5986.69,17.36
11/8/24,5995.54,5976.76,6012.45,5976.76,-5.81
11/7/24,5973.1,5947.21,5983.84,5947.21,-22.44
11/6/24,5929.04,5864.89,5936.14,5864.89,-44.06
11/5/24,5782.76,5722.43,5783.44,5722.1,-146.28
11/4/24,5712.69,5725.15,5741.43,5696.51,-70.07
11/1/24,5728.8,5723.22,5772.52,5723.22,16.11
10/31/24,5705.45,5775.34,5775.34,5702.86,-23.35
10/30/24,5813.67,5832.65,5850.94,5811.28,108.22
10/29/24,5832.92,5819.68,5847.19,5802.17,19.25
10/28/24,5823.52,5833.93,5842.92,5823.08,-9.4
10/25/24,5808.12,5826.75,5862.82,5799.98,-15.4
10/24/24,5809.86,5817.8,5817.8,5784.92,1.74
10/23/24,5797.42,5834.5,5834.85,5762.41,-12.44
10/22/24,5851.2,5832.7,5863.04,5821.17,53.78
10/21/24,5853.98,5857.82,5866.92,5824.79,2.78
10/18/24,5864.67,5859.43,5872.17,5846.11,10.69
10/17/24,5841.47,5875.62,5878.46,5840.25,-23.2
10/16/24,5842.47,5816.58,5846.52,5808.34,1
10/15/24,5815.26,5866.74,5870.36,5804.48,-27.21
10/14/24,5859.85,5829.81,5871.41,5829.57,44.59
10/11/24,5815.03,5775.09,5822.13,5775.09,-44.82
10/10/24,5780.05,5778.36,5795.03,5764.76,-34.98
10/9/24,5792.04,5751.8,5796.8,5745.02,11.99
10/8/24,5751.13,5719.14,5757.6,5714.56,-40.91
10/7/24,5695.94,5737.8,5739.34,5686.85,-55.19
10/4/24,5751.07,5737.48,5753.21,5702.83,55.13
10/3/24,5699.94,5698.19,5718.78,5677.37,-51.13
10/2/24,5709.54,5698.14,5719.63,5674,9.6
10/1/24,5708.75,5757.73,5757.73,5681.28,-0.79
9/30/24,5762.48,5726.52,5765.14,5703.53,53.73
9/27/24,5738.17,5755.36,5763.78,5727.34,-24.31
9/26/24,5745.37,5762.22,5767.37,5721.01,7.2
9/25/24,5722.26,5733.65,5741.03,5712.06,-23.11
9/24/24,5732.93,5727.66,5735.32,5698.99,10.67
9/23/24,5718.57,5711.9,5725.36,5704.22,-14.36
9/20/24,5702.55,5709.64,5715.14,5674.49,-16.02
9/19/24,5713.64,5702.63,5733.57,5686.42,11.09
9/18/24,5618.26,5641.68,5689.75,5615.08,-95.38
9/17/24,5634.58,5655.51,5670.81,5614.05,16.32
9/16/24,5633.09,5615.21,5636.05,5604.53,-1.49
9/13/24,5626.02,5603.34,5636.27,5601.65,-7.07
9/12/24,5595.76,5557.48,5600.71,5535.5,-30.26
9/11/24,5554.13,5496.42,5560.41,5406.96,-41.63
9/10/24,5495.52,5490.51,5497.91,5441.72,-58.61
9/9/24,5471.05,5442.07,5484.2,5434.49,-24.47
9/6/24,5408.42,5507.33,5522.47,5402.62,-62.63
9/5/24,5503.41,5520.08,5546.3,5480.54,94.99
9/4/24,5520.07,5506.68,5552.99,5503.66,16.66
9/3/24,5528.93,5623.89,5623.89,5504.33,8.86
8/30/24,5648.4,5612.74,5651.37,5581.79,119.47
8/29/24,5591.96,5607.3,5646.95,5583.71,-56.44
8/28/24,5592.18,5624.51,5627.03,5560.95,0.22
8/27/24,5625.8,5602.89,5631.18,5593.48,33.62
8/26/24,5616.84,5639.66,5651.62,5602.34,-8.96
8/23/24,5634.61,5602.49,5641.82,5585.16,17.77
8/22/24,5570.64,5637.77,5643.22,5560.95,-63.97
8/21/24,5620.85,5603.09,5632.68,5591.57,50.21
8/20/24,5597.12,5602.88,5620.51,5585.5,-23.73
8/19/24,5608.25,5557.23,5608.3,5550.74,11.13
8/16/24,5554.25,5530.5,5561.98,5525.17,-54
8/15/24,5543.22,5501.13,5546.23,5501.13,-11.03
8/14/24,5455.21,5442.36,5463.22,5415.91,-88.01
8/13/24,5434.43,5376.98,5436.5,5376.98,-20.78
8/12/24,5344.39,5351.88,5371.2,5324.37,-90.04
8/9/24,5344.16,5314.66,5358.67,5300.84,-0.23
8/8/24,5319.31,5252.57,5328.03,5233.85,-24.85
8/7/24,5199.5,5293.13,5330.64,5195.54,-119.81
8/6/24,5240.03,5206.42,5312.34,5193.56,40.53
8/5/24,5186.33,5151.14,5250.89,5119.26,-53.7
8/2/24,5346.56,5376.63,5383.89,5302.03,160.23
8/1/24,5446.68,5537.84,5566.16,5410.42,100.12
7/31/24,5522.3,5505.59,5551.51,5493.75,75.62
7/30/24,5436.44,5478.73,5489.46,5401.7,-85.86
7/29/24,5463.54,5476.55,5487.74,5444.44,27.1
7/26/24,5459.1,5433.67,5488.32,5430.7,-4.44
7/25/24,5399.22,5428.7,5491.59,5390.95,-59.88
7/24/24,5427.13,5505.84,5508.04,5419.98,27.91
7/23/24,5555.74,5565.3,5585.34,5550.9,128.61
7/22/24,5564.41,5544.54,5570.36,5529.04,8.67
7/19/24,5505,5543.37,5557.5,5497.04,-59.41
7/18/24,5544.59,5608.56,5614.05,5522.81,39.59
7/17/24,5588.27,5610.07,5622.49,5584.81,43.68
7/16/24,5667.2,5644.09,5669.67,5639.02,78.93
7/15/24,5631.22,5638.16,5666.94,5614.75,-35.98
7/12/24,5615.35,5590.76,5655.56,5590.44,-15.87
7/11/24,5584.54,5635.21,5642.45,5576.53,-30.81
7/10/24,5633.91,5591.26,5635.39,5586.44,49.37
7/9/24,5576.98,5584.24,5590.75,5574.57,-56.93
7/8/24,5572.85,5572.75,5583.11,5562.51,-4.13
7/5/24,5567.19,5537.91,5570.33,5531.63,-5.66
7/3/24,5537.02,5507.44,5539.27,5507.42,-30.17
7/2/24,5509.01,5461.84,5509.69,5458.43,-28.01
7/1/24,5475.09,5471.08,5479.55,5446.53,-33.92
6/28/24,5460.48,5488.48,5523.64,5451.12,-14.61
6/27/24,5482.87,5473.59,5490.81,5467.54,22.39
6/26/24,5477.9,5460.71,5483.14,5451.87,-4.97
6/25/24,5469.3,5460.73,5472.88,5446.56,-8.6
6/24/24,5447.87,5459.58,5490.66,5447.59,-21.43
6/21/24,5464.62,5466.77,5478.31,5452.03,16.75
6/20/24,5473.17,5499.99,5505.53,5455.56,8.55
6/18/24,5487.03,5476.15,5490.38,5471.32,13.86
6/17/24,5473.23,5431.11,5488.5,5420.4,-13.8
6/14/24,5431.6,5424.08,5432.39,5403.75,-41.63
6/13/24,5433.74,5441.93,5441.93,5402.51,2.14
6/12/24,5421.03,5409.13,5447.25,5409.13,-12.71
6/11/24,5375.32,5353,5375.95,5327.25,-45.71
6/10/24,5360.79,5341.22,5365.79,5331.52,-14.53
6/7/24,5346.99,5343.81,5375.08,5331.33,-13.8
6/6/24,5352.96,5357.8,5362.35,5335.36,5.97
6/5/24,5354.03,5314.48,5354.16,5297.64,1.07
6/4/24,5291.34,5278.24,5298.8,5257.63,-62.69
6/3/24,5283.4,5297.15,5302.11,5234.32,-7.94
5/31/24,5277.51,5243.21,5280.33,5191.68,-5.89
5/30/24,5235.48,5259.77,5260.21,5222.1,-42.03
5/29/24,5266.95,5278.73,5282.27,5262.7,31.47
5/28/24,5306.04,5315.91,5315.91,5280.89,39.09
5/24/24,5304.72,5281.45,5311.65,5278.39,-1.32
5/23/24,5267.84,5340.26,5341.88,5256.93,-36.88
5/22/24,5307.01,5319.28,5323.18,5286.01,39.17
5/21/24,5321.41,5298.69,5324.32,5297.87,14.4
5/20/24,5308.13,5305.35,5325.32,5302.4,-13.28
5/17/24,5303.27,5303.1,5305.45,5283.59,-4.86
5/16/24,5297.1,5310.07,5325.49,5296.19,-6.17
5/15/24,5308.15,5263.26,5311.76,5263.26,11.05
