,0
0,POS
1,NEG
2,POS
3,NEG
4,NEG
5,NEG
6,POS
7,NEG
8,NEG
9,NEG
10,POS
11,NEG
12,NEG
13,NEG
14,NEG
15,NEG
16,NEG
17,NEG
18,NEG
19,NEG
20,POS
21,NEG
22,NEG
23,NEG
24,NEG
25,POS
26,NEG
27,POS
28,POS
29,POS
30,NEG
31,NEG
32,NEG
33,NEG
34,NEG
35,NEG
36,POS
37,POS
38,NEG
39,NEG
40,NEG
41,NEG
42,NEG
43,NEG
44,NEG
45,POS
46,NEG
47,NEG
48,NEG
49,NEG
50,NEG
51,NEG
52,NEG
53,NEG
54,NEG
55,NEG
56,POS
57,NEG
58,NEG
59,POS
60,NEG
61,NEG
62,NEG
63,NEG
64,NEG
65,NEG
66,NEG
67,NEG
68,NEG
69,NEG
70,NEG
71,NEG
72,NEG
73,NEG
74,NEG
75,NEG
76,NEG
77,NEG
78,NEG
79,NEG
80,NEG
81,NEG
82,NEG
83,POS
84,POS
85,NEG
86,NEG
87,NEG
88,POS
89,NEG
90,NEG
91,NEG
92,POS
93,NEG
94,POS
95,NEG
96,NEG
97,NEG
98,NEG
99,POS
