,0
0,NEU
1,NEG
2,NEU
3,NEU
4,NEG
5,NEU
6,NEU
7,NEG
8,NEG
9,NEG
10,NEU
11,NEU
12,NEU
13,NEU
14,NEU
15,NEG
16,NEU
17,NEG
18,NEU
19,NEU
20,NEU
21,NEU
22,NEU
23,NEU
24,NEG
25,NEU
26,NEU
27,NEU
28,NEU
29,NEU
30,NEU
31,NEU
32,NEG
33,NEG
34,NEU
35,NEG
36,NEU
37,POS
38,NEU
39,NEU
40,NEG
41,NEU
42,NEG
43,NEG
44,NEU
45,NEU
46,NEG
47,NEU
48,NEU
49,NEU
50,NEU
51,NEG
52,NEG
53,NEG
54,NEG
55,NEU
56,NEU
57,NEU
58,NEG
59,NEG
60,NEU
61,NEU
62,NEG
63,NEU
64,NEU
65,NEU
66,NEU
67,NEU
68,NEU
69,NEG
70,NEG
71,NEG
72,NEU
73,NEU
74,NEU
75,NEG
76,NEG
77,NEU
78,NEG
79,NEU
80,NEG
81,NEG
82,NEU
83,POS
84,NEU
85,NEU
86,NEU
87,NEU
88,POS
89,NEU
90,NEU
91,NEU
92,NEU
93,NEG
94,NEU
95,NEG
96,POS
97,NEU
98,NEU
99,NEU
