,0
0,NEU
1,NEG
2,POS
3,NEG
4,NEU
5,NEU
6,NEU
7,POS
8,NEG
9,NEG
10,POS
11,NEU
12,NEU
13,POS
14,NEG
15,NEU
16,POS
17,NEU
18,NEU
19,NEG
20,POS
21,POS
22,NEU
23,NEU
24,NEG
25,NEU
26,NEG
27,NEU
28,NEU
29,NEU
30,POS
31,NEG
32,NEU
33,NEU
34,NEU
35,NEU
36,NEG
37,NEG
38,NEU
39,NEU
40,NEU
41,NEU
42,NEU
43,POS
44,NEG
45,NEG
46,NEU
47,NEU
48,NEG
49,POS
50,NEU
51,NEU
52,NEU
53,NEG
54,NEU
55,NEU
56,POS
57,NEG
58,NEU
59,POS
60,NEG
61,NEU
62,NEU
63,POS
64,NEU
65,POS
66,NEG
67,NEU
68,NEU
69,NEU
70,NEU
71,NEU
72,NEU
73,NEU
74,NEU
75,NEU
76,NEU
77,NEU
78,NEU
79,NEG
80,NEU
81,NEG
82,NEG
83,NEG
84,NEU
85,NEU
86,POS
87,POS
88,POS
89,NEU
90,NEU
91,NEU
92,NEU
93,NEG
94,NEG
95,NEG
96,POS
97,NEU
98,NEG
99,NEU
