,0
0,NEU
1,NEG
2,NEU
3,NEG
4,NEG
5,NEG
6,NEU
7,POS
8,NEG
9,NEG
10,POS
11,NEU
12,NEU
13,POS
14,NEU
15,NEG
16,NEU
17,NEG
18,NEU
19,NEU
20,NEU
21,POS
22,NEU
23,NEG
24,NEG
25,NEU
26,POS
27,NEU
28,NEU
29,NEU
30,NEG
31,NEG
32,NEG
33,NEG
34,NEU
35,NEU
36,NEG
37,POS
38,POS
39,NEU
40,POS
41,NEU
42,NEG
43,NEG
44,NEG
45,NEU
46,NEG
47,NEU
48,NEU
49,POS
50,NEU
51,NEG
52,NEG
53,NEG
54,NEG
55,NEG
56,POS
57,POS
58,NEG
59,NEG
60,POS
61,NEU
62,NEG
63,NEG
64,POS
65,POS
66,NEG
67,NEG
68,NEU
69,NEG
70,NEG
71,NEG
72,POS
73,NEG
74,NEU
75,POS
76,NEG
77,POS
78,NEG
79,POS
80,NEG
81,NEG
82,NEU
83,NEU
84,POS
85,POS
86,NEU
87,POS
88,POS
89,NEG
90,POS
91,NEG
92,NEU
93,NEG
94,POS
95,NEG
96,POS
97,POS
98,NEU
99,POS
