,0
0,0.0
1,-0.688
2,0.0
3,-0.583
4,-0.224
5,-0.34
6,0.0
7,0.07
8,-0.358
9,-0.588
10,0.205
11,0.0
12,0.0
13,0.421
14,0.0
15,-0.405
16,0.0
17,-0.648
18,0.0
19,0.0
20,0.0
21,0.34400000000000003
22,0.0
23,-0.537
24,-0.425
25,0.0
26,0.419
27,0.0
28,0.0
29,0.0
30,-0.276
31,-0.252
32,-0.612
33,-0.294
34,0.0
35,0.0
36,-0.293
37,0.355
38,0.286
39,0.0
40,0.11100000000000002
41,0.0
42,-0.302
43,-0.069
44,-0.296
45,0.0
46,-0.315
47,0.0
48,0.0
49,0.30899999999999994
50,0.0
51,-0.367
52,-0.609
53,-0.58
54,-0.388
55,-0.318
56,0.49
57,0.151
58,-0.208
59,-0.277
60,0.151
61,0.0
62,-0.314
63,-0.231
64,0.405
65,0.355
66,-0.225
67,-0.296
68,0.0
69,-0.223
70,-0.247
71,-0.34
72,0.08200000000000002
73,-0.149
74,0.0
75,0.13299999999999998
76,-0.26
77,0.178
78,-0.344
79,0.247
80,-0.268
81,-0.259
82,0.0
83,0.0
84,0.07400000000000001
85,0.365
86,0.0
87,0.396
88,0.737
89,-0.528
90,0.205
91,-0.259
92,0.0
93,-0.673
94,0.231
95,-0.537
96,0.244
97,0.459
98,0.0
99,0.031
